;name;link;level;name_clean
261;Boutique de produits diététiques;food_beverages_tobacco/grocery_stores_markets/health_food_store;2;boutique de produits dietetiques
262;Épicerie;food_beverages_tobacco/grocery_stores_markets/grocery_store;2;epicerie
263;Épicerie fine;food_beverages_tobacco/grocery_stores_markets/deli;2;epicerie fine
264;Ferme bio;food_beverages_tobacco/grocery_stores_markets/organic_farm;2;ferme bio
265;Kiosque;food_beverages_tobacco/grocery_stores_markets/kiosk;2;kiosque
266;Magasin bio;food_beverages_tobacco/grocery_stores_markets/organic_store;2;magasin bio
267;Magasin d'alimentation bio;food_beverages_tobacco/grocery_stores_markets/organic_food_store;2;magasin dalimentation bio
268;Magasin d'alimentation naturelle;food_beverages_tobacco/grocery_stores_markets/natural_foods_store;2;magasin dalimentation naturelle
269;Magasin d'épices;food_beverages_tobacco/grocery_stores_markets/spice_store;2;magasin depices
270;Magasin de produits gourmets;food_beverages_tobacco/grocery_stores_markets/gourmet_grocery_store;2;magasin de produits gourmets
271;Magasin de produits surgelés;food_beverages_tobacco/grocery_stores_markets/frozen_food_store;2;magasin de produits surgeles
272;Service de livraison des courses;food_beverages_tobacco/grocery_stores_markets/grocery_delivery_service;2;service de livraison des courses
273;Supérette;food_beverages_tobacco/grocery_stores_markets/convenience_store;2;superette
274;Supermarché;food_beverages_tobacco/grocery_stores_markets/supermarket;2;supermarche
275;Boutique de confiseries japonaises bon marché;food_beverages_tobacco/asian_grocery_stores/japanese_cheap_sweets_shop;2;boutique de confiseries japonaises bon marche
276;Épicerie asiatique;food_beverages_tobacco/asian_grocery_stores/asian_grocery_store;2;epicerie asiatique
277;Épicerie japonaise;food_beverages_tobacco/asian_grocery_stores/japanese_grocery_store;2;epicerie japonaise
278;Épicerie japonaise spécialisée;food_beverages_tobacco/asian_grocery_stores/japanese_delicatessen;2;epicerie japonaise specialisee
279;Magasin d'articles orientaux;food_beverages_tobacco/asian_grocery_stores/oriental_goods_store;2;magasin darticles orientaux
280;Magasin de fruits secs;food_beverages_tobacco/fruits_vegetables/dry_fruit_store;2;magasin de fruits secs
281;Marchand de légumes;food_beverages_tobacco/fruits_vegetables/green_grocers;2;marchand de legumes
282;Primeur;food_beverages_tobacco/fruits_vegetables/fruit_and_vegetable_store;2;primeur
283;Conserverie;food_beverages_tobacco/food_production/cannery;2;conserverie
284;Consultant en aliments et boissons;food_beverages_tobacco/food_production/food_and_beverage_consultant;2;consultant en aliments et boissons
285;Entreprise d'embouteillage d'huile d'olive;food_beverages_tobacco/food_production/olive_oil_bottling_company;2;entreprise dembouteillage dhuile dolive
286;Entreprise de transformation alimentaire;food_beverages_tobacco/food_production/food_processing_company;2;entreprise de transformation alimentaire
287;Équipement de transformation des aliments;food_beverages_tobacco/food_production/food_processing_equipment;2;equipement de transformation des aliments
288;Fabricant d'huile d'olive;food_beverages_tobacco/food_production/olive_oil_manufacturer;2;fabricant dhuile dolive
289;Fabricant de produits alimentaires;food_beverages_tobacco/food_production/food_manufacturer;2;fabricant de produits alimentaires
290;Fabricant de produits surgelés;food_beverages_tobacco/food_production/frozen_food_manufacturer;2;fabricant de produits surgeles
291;Fabrication d'aliments;food_beverages_tobacco/food_production/food_manufacturing_supply;2;fabrication daliments
292;Fournisseur d'engrais;food_beverages_tobacco/food_production/fertilizer_supplier;2;fournisseur dengrais
293;Fournisseur de matériel agricole;food_beverages_tobacco/food_production/farm_equipment_supplier;2;fournisseur de materiel agricole
294;Fournisseur de produits alimentaires;food_beverages_tobacco/food_production/food_products_supplier;2;fournisseur de produits alimentaires
295;Packaging d'aliments de base;food_beverages_tobacco/food_production/staple_food_package;2;packaging daliments de base
296;Producteur de produits alimentaires;food_beverages_tobacco/food_production/food_producer;2;producteur de produits alimentaires
297;Boutique de cigares;food_beverages_tobacco/smoking_tobacco/cigar_shop;2;boutique de cigares
298;Bureau de tabac;food_beverages_tobacco/smoking_tobacco/tobacco_shop;2;bureau de tabac
299;Fournisseur de tabac;food_beverages_tobacco/smoking_tobacco/tobacco_supplier;2;fournisseur de tabac
300;Magasin de cannabis;food_beverages_tobacco/smoking_tobacco/cannabis_store;2;magasin de cannabis
301;Magasin de cigarettes électroniques;food_beverages_tobacco/smoking_tobacco/electronic_cigarette_store;2;magasin de cigarettes electroniques
302;Magasin de narguilés;food_beverages_tobacco/smoking_tobacco/hookah_store;2;magasin de narguiles
303;Magasin de vaporiseurs;food_beverages_tobacco/smoking_tobacco/vaporizer_store;2;magasin de vaporiseurs
304;Boucherie;food_beverages_tobacco/meat_seafood_eggs/butcher_shop;2;boucherie
305;Boucherie-charcuterie;food_beverages_tobacco/meat_seafood_eggs/butcher_shop_deli;2;boucheriecharcuterie
306;Charcuterie;food_beverages_tobacco/meat_seafood_eggs/charcuterie;2;charcuterie
307;Charcutier;food_beverages_tobacco/meat_seafood_eggs/ham_shop;2;charcutier
308;Ferme d'élevage;food_beverages_tobacco/meat_seafood_eggs/cattle_farm;2;ferme delevage
309;Fournisseur d'huîtres;food_beverages_tobacco/meat_seafood_eggs/oyster_supplier;2;fournisseur dhuitres
310;Magasin de fruits de mer séchés;food_beverages_tobacco/meat_seafood_eggs/dried_seafood_store;2;magasin de fruits de mer seches
