name;link;level
Consultant immobilier;money_insurance/real_estate/real_estate_consultant;2
Évaluateur immobilier;money_insurance/real_estate/real_estate_appraiser;2
Expert;money_insurance/real_estate/appraiser;2
Immeuble d'habitation;money_insurance/real_estate/apartment_building;2
Immeuble en copropriété;money_insurance/real_estate/condominium_complex;2
Promoteur immobilier;money_insurance/real_estate/real_estate_developer;2
Service d'achats groupés;money_insurance/real_estate/group_buying_service;2
Société de gestion immobilière;money_insurance/real_estate/property_management_company;2
Agence de revenus;money_insurance/investments_wealth/agenzia_entrate;2
Audit financier;money_insurance/investments_wealth/financial_audit;2
Bourse;money_insurance/investments_wealth/stock_exchange_building;2
Conseil en investissement;money_insurance/investments_wealth/investment_service;2
Conseiller financier;money_insurance/investments_wealth/financial_consultant;2
Courtier en finances;money_insurance/investments_wealth/finance_broker;2
Courtier en prêts hypothécaires;money_insurance/investments_wealth/mortgage_broker;2
Entreprise de négoce de l'or et de l'argent;money_insurance/investments_wealth/gold_and_silver_trading_company;2
Établissement de crédit;money_insurance/investments_wealth/loan_agency;2
Expert immobilier;money_insurance/investments_wealth/estate_appraiser;2
Gestion des biens;money_insurance/investments_wealth/asset_manager;2
Investissements immobiliers;money_insurance/investments_wealth/property_investment;2
Marchand d'or;money_insurance/investments_wealth/gold_dealer;2
Planificateur financier;money_insurance/investments_wealth/financial_planner;2
Prêteur hypothécaire;money_insurance/investments_wealth/mortgage_lender;2
Service de finances alternatives;money_insurance/investments_wealth/alternate_finance_services;2
Société d'investissement;money_insurance/investments_wealth/investment_company;2
Société de portefeuille;money_insurance/investments_wealth/holding_company;2
Société financière non banquière;money_insurance/investments_wealth/non_bank_finance;2
Agence de crédit;money_insurance/credit_debt_services/credit_bureau;2
Agence de recouvrement des dettes;money_insurance/credit_debt_services/debt_collection_agency;2
Recouvrement de dettes;money_insurance/credit_debt_services/debt_collecting;2
Service d'allégement de la dette;money_insurance/credit_debt_services/debt_relief_service;2
Service de conseil en crédit;money_insurance/credit_debt_services/credit_counseling_service;2
